source,offset,target
C,-3,A
C,-2,Bb
C,-1,B
C,0,C
C,1,C#
C,2,D
C,3,D#
C#,-3,Bb
C#,-2,B
C#,-1,C
C#,0,C#
C#,1,D
C#,2,D#
C#,3,E
D,-3,B
D,-2,C
D,-1,C#
D,0,D
D,1,D#
D,2,E
D,3,F
D#,-3,C
D#,-2,C#
D#,-1,D
D#,0,D#
D#,1,E
D#,2,F
D#,3,F#
E,-3,C#
E,-2,D
E,-1,D#
E,0,E
E,1,F
E,2,F#
E,3,G
F,-3,D
F,-2,D#
F,-1,E
F,0,F
F,1,F#
F,2,G
F,3,G#
F#,-3,D#
F#,-2,E
F#,-1,F
F#,0,F#
F#,1,G
F#,2,G#
F#,3,A
G,-3,E
G,-2,F
G,-1,F#
G,0,G
G,1,G#
G,2,A
G,3,Bb
G#,-3,F
G#,-2,F#
G#,-1,G
G#,0,G#
G#,1,A
G#,2,Bb
G#,3,B
A,-3,F#
A,-2,G
A,-1,G#
A,0,A
A,1,Bb
A,2,B
A,3,C
Bb,-3,G
Bb,-2,G#
Bb,-1,A
Bb,0,Bb
Bb,1,B
Bb,2,C
Bb,3,C#
B,-3,G#
B,-2,A
B,-1,Bb
B,0,B
B,1,C
B,2,C#
B,3,D
